Frame Number,Vehicle,License Plate,Average Score
184,motorcycle_12.0,37P1-17406,0.7772920885019832
184,motorcycle_17.0,29F5-55665,0.7548915876282586
184,motorcycle_19.0,29P1-38569,0.9187885456615024
185,motorcycle_12.0,37P1-17406,0.8008937570783827
185,motorcycle_17.0,29F5-5565,0.8372858073562384
185,motorcycle_19.0,29P1-38569,0.8937925762600369
186,motorcycle_12.0,37P1-17406,0.8374240265952216
186,motorcycle_17.0,29F5-5565,0.8139992952346802
186,motorcycle_19.0,29P1-38569,0.9229253066910638
187,motorcycle_12.0,37P1-17406,0.8634814355108473
187,motorcycle_17.0,29F5-5565,0.8917111828923225
188,motorcycle_12.0,37P1-17406,0.8459629350238376
188,motorcycle_17.0,29F5-5565,0.8343280889093876
188,motorcycle_19.0,29P1-38569,0.8897870911492242
189,motorcycle_12.0,37P1-17406,0.8025330570009019
189,motorcycle_17.0,29F5-5565,0.8387207724153996
189,motorcycle_19.0,29P1-38569,0.893282327387068
189,motorcycle_21.0,10B4-84807,0.8054393728574117
190,motorcycle_12.0,37P1-17406,0.7887380487389035
190,car_16.0,30F-96054,0.7217811793088913
190,motorcycle_17.0,29F5-5565,0.8583880960941315
190,motorcycle_21.0,10B4-84807,0.8284643457995521
191,motorcycle_12.0,37P1-17406,0.807901918888092
191,car_16.0,30F-96054,0.6534695215523243
191,motorcycle_17.0,29F5-5565,0.8948270007967949
191,motorcycle_19.0,29P1-38569,0.9105888605117798
191,motorcycle_21.0,10B4-84807,0.8303339944945441
192,motorcycle_12.0,37P1-17406,0.7759641607602438
192,car_16.0,30F-96054,0.6951938942074776
192,motorcycle_17.0,29F5-5565,0.8389044143259525
193,motorcycle_12.0,37P1-17406,0.7678219179312388
193,motorcycle_14.0,81L1-17111,0.43199799458185834
193,car_16.0,30F-96054,0.6269261352717876
193,motorcycle_17.0,29F5-5565,0.8610287494957447
193,motorcycle_19.0,29P1-38569,0.8872128129005432
193,motorcycle_21.0,18A-34807,0.8572137132287025
194,motorcycle_12.0,37P1-17406,0.7961164447996352
194,car_16.0,30F-96054,0.6438380982726812
194,motorcycle_17.0,29F5-5565,0.8490942157804966
194,motorcycle_19.0,29P1-38569,0.8937584492895339
194,motorcycle_21.0,17B4-84807,0.8207854098743863
194,motorcycle_23.0,17B4-84807,0.7785848263237212
195,motorcycle_12.0,37P1-17406,0.8414724932776557
195,car_16.0,30F-96054,0.5760558899492025
195,motorcycle_17.0,29F5-5565,0.8384354654699564
195,motorcycle_19.0,29P1-38569,0.9111743172009786
195,motorcycle_21.0,17B4-84807,0.8234642810291715
195,motorcycle_23.0,17B4-84807,0.7760548227363162
196,motorcycle_12.0,37P1-17406,0.7343208491802216
196,car_16.0,30F-96054,0.6266816221177578
196,motorcycle_19.0,29P1-38569,0.9127571052975125
196,motorcycle_21.0,17B4-34807,0.8211534155739678
